date,algo_id,total_pnl,trades_count,wins,losses
2024-05-24 00:00:00,algo1,200.0,1,1,0
2024-01-03 00:00:00,algo1,200.0,1,1,0
2024-10-29 00:00:00,algo1,-200.0,1,0,1
2024-03-13 00:00:00,algo1,-200.0,1,0,1
2024-11-06 00:00:00,algo1,-200.0,1,0,1
2024-05-16 00:00:00,algo1,-200.0,1,0,1
2024-03-06 00:00:00,algo1,-200.0,1,0,1
2025-01-07 00:00:00,algo1,200.0,1,1,0
2024-07-08 00:00:00,algo1,200.0,1,1,0
2024-11-26 00:00:00,algo1,200.0,1,1,0
2024-07-11 00:00:00,algo1,200.0,1,1,0
2024-10-14 00:00:00,algo1,200.0,1,1,0
2024-12-03 00:00:00,algo1,200.0,1,1,0
2024-06-06 00:00:00,algo1,-200.0,1,0,1
2024-10-25 00:00:00,algo1,-200.0,1,0,1
2024-02-09 00:00:00,algo1,200.0,1,1,0
2024-12-16 00:00:00,algo1,200.0,1,1,0
2024-01-10 00:00:00,algo1,200.0,1,1,0
2024-08-27 00:00:00,algo1,200.0,1,1,0
2024-04-01 00:00:00,algo1,200.0,1,1,0
2024-04-18 00:00:00,algo1,-200.0,1,0,1
2024-06-27 00:00:00,algo1,-200.0,1,0,1
2024-07-01 00:00:00,algo1,200.0,1,1,0
2025-05-22 00:00:00,algo1,-200.0,1,0,1
2024-09-09 00:00:00,algo1,200.0,1,1,0
2024-09-11 00:00:00,algo1,200.0,1,1,0
2024-07-31 00:00:00,algo1,200.0,1,1,0
2024-04-23 00:00:00,algo1,200.0,1,1,0
2025-03-03 00:00:00,algo1,-200.0,1,0,1
2025-05-07 00:00:00,algo1,200.0,1,1,0
2025-03-24 00:00:00,algo1,-200.0,1,0,1
2024-09-20 00:00:00,algo1,-200.0,1,0,1
2024-12-09 00:00:00,algo1,200.0,1,1,0
2024-11-14 00:00:00,algo1,200.0,1,1,0
2024-11-27 00:00:00,algo1,200.0,1,1,0
2024-04-26 00:00:00,algo1,-200.0,1,0,1
2024-12-20 00:00:00,algo1,-200.0,1,0,1
2024-02-08 00:00:00,algo1,-200.0,1,0,1
2024-03-12 00:00:00,algo1,200.0,1,1,0
2024-07-10 00:00:00,algo1,-200.0,1,0,1
2024-02-28 00:00:00,algo1,-200.0,1,0,1
2024-10-24 00:00:00,algo1,200.0,1,1,0
2024-05-28 00:00:00,algo1,200.0,1,1,0
2025-03-06 00:00:00,algo1,-200.0,1,0,1
2025-01-23 00:00:00,algo1,200.0,1,1,0
2024-06-19 00:00:00,algo1,-200.0,1,0,1
2024-04-16 00:00:00,algo1,200.0,1,1,0
2024-11-07 00:00:00,algo1,-200.0,1,0,1
2024-04-19 00:00:00,algo1,-200.0,1,0,1
2024-08-21 00:00:00,algo1,200.0,1,1,0
2025-02-17 00:00:00,algo1,-200.0,1,0,1
2025-01-22 00:00:00,algo1,200.0,1,1,0
2025-05-02 00:00:00,algo1,-200.0,1,0,1
2025-03-21 00:00:00,algo1,-200.0,1,0,1
2024-08-29 00:00:00,algo1,200.0,1,1,0
2024-03-07 00:00:00,algo1,200.0,1,1,0
2024-06-18 00:00:00,algo1,200.0,1,1,0
2024-09-13 00:00:00,algo1,200.0,1,1,0
2025-02-20 00:00:00,algo1,200.0,1,1,0
2024-09-04 00:00:00,algo1,200.0,1,1,0
2024-12-19 00:00:00,algo1,200.0,1,1,0
2024-10-18 00:00:00,algo1,-200.0,1,0,1
2025-01-15 00:00:00,algo1,200.0,1,1,0
2024-07-23 00:00:00,algo1,-200.0,1,0,1
2024-01-17 00:00:00,algo1,-200.0,1,0,1
2024-04-04 00:00:00,algo1,-200.0,1,0,1
2024-12-26 00:00:00,algo1,200.0,1,1,0
2024-05-14 00:00:00,algo1,200.0,1,1,0
2024-02-21 00:00:00,algo1,-200.0,1,0,1
